Traceback (most recent call last):
  File "C:\Users\yurib\Documents\New project\storybooks\tools\tts-video\server.py", line 15, in <module>
    import ssl
  File "C:\Users\yurib\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\ssl.py", line 100, in <module>
    import _ssl             # if we can't import it, let the error propagate
    ^^^^^^^^^^^
ImportError: DLL load failed while importing _ssl: 내부 오류가 발생했습니다.
127.0.0.1 - - [13/Jun/2026 23:15:36] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:18:00] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:19:42] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:21:21] "GET /api/debug-child-ssl HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 23:35:03] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:36:52] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:38:47] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:39:40] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:40:35] "GET /api/voices?language=ko-KR HTTP/1.1" 500 -
127.0.0.1 - - [13/Jun/2026 23:41:59] "GET /api/debug-child-ssl HTTP/1.1" 200 -
127.0.0.1 - - [13/Jun/2026 23:42:57] "GET /api/voices?provider=cloud&language=ko-KR HTTP/1.1" 500 -
